"","folder","date","individual","morph","origin","observer","observation_number","observation","day_in_captivity","assay_number","cycle","cue","trait","session","temp","precip","humid","wind","press","moon","test_start","test_end","actual_end","first_trig","food_trig","emerge","emergeflip","food","foodflip","active","vigil","out","hidraw","hid","trig","trigpass","gud","tame"
"137","137 - EQ27 D10 T11 C7 S1",2017-07-06,"EQ27","Dark","Wild","GH",137,11,10,11,1.08865125941499,"Audio","Boldness",-1.00671410774027,0.155239421696029,-0.313291251794084,-0.951663339916274,0.443925065988591,-1.02129447709667,0.961706733638365,"0.74583333333333335","0.84444444444444444","0.82916666666666672","0.76648148148148154","GUD",-0.249492736041419,91,1.12706388897879,0,-0.544891026074988,-0.821265323892242,-0.692470248226856,7.55803333333333,0.692470248226858,15,-0.41892171617411,-0.474123673370495,"0"
"138","138 - EQ28 D08 T11 C8 S1",2017-07-07,"EQ28","Fawn","Wild","GH",138,11,8,11,1.52411176318099,"Scent","Control",-1.00671410774027,0.756968910528725,-0.313291251794084,-1.60034371463288,1.16624381742766,-1.55697948204228,1.10265263037039,"0.74652777777777779","0.84166666666666667","0.82986111111111116","0.74989583333333332","0.75923611111111111",-0.899032169715034,116,-1.1154821125354,102,-0.220356858959579,0.133044577115529,-0.10538480932031,9.64201666666667,0.105384809320309,24,-0.0621214712197349,-0.474123673370495,"0"
"139","139 - EQ30 D08 T11 C6 S1",2017-07-13,"EQ30","Fawn","Wild","GH",139,7,8,11,0.653190755648996,"Light","Control",-1.00671410774027,0.313589287178317,-0.313291251794084,-0.951663339916274,-0.468477567408121,0.244870080047516,0.820760836906344,"0.74305555555555558","0.83402777777777781","0.82638888888888895","0.75883101851851853","GUD",-0.431363777470031,98,1.12706388897879,0,-0.261603814782752,0.631445721461358,0.0526700489517713,14.6149166666667,-0.052670048951772,35,-0.316978789044288,-0.474123673370495,"0"
"140","140 - EQ31 D08 T11 C6 S1",2017-07-13,"EQ31","Fawn","Wild","GH",140,11,8,11,0.653190755648996,"Light","Exploration",-1.00671410774027,0.313589287178317,-0.313291251794084,-0.951663339916274,-0.468477567408121,0.244870080047516,0.820760836906344,"0.74375000000000002","0.83472222222222225","0.82708333333333339","0.76337962962962969","GUD",-0.275474313388363,92,1.12706388897879,0,-0.499610336714369,-0.349731973959933,-0.483506534614688,2.52003333333333,0.483506534614688,7,-0.673779033998663,-0.474123673370495,"0"
"141","141 - EQ19 D10 T12 C1 S2",2017-06-23,"EQ19","Dark","Captive","BW",141,12,10,12,-1.52411176318099,"Audio","Boldness",0.988896158930711,0.440269179564148,-0.313291251794084,-0.221897918360089,0.900126382686947,-0.940130082407939,-1.71026760653675,"0.91736111111111107","6.9444444444444441E-3","1.0006944444444443","0.96371527777777777","0.97298611111111111",0.711825625795531,54,0.247634084463424,40,-0.408020220580895,-0.505378133727392,-0.477380525256401,12.28815,0.477380525256402,26,-0.266007325479378,-0.474123673370495,"0"
"142","142 - EQ20 D07 T12 C6 S2",2017-06-20,"EQ20","Dark","Captive","JN",142,10,7,12,0.653190755648996,"Scent","Sociality",0.988896158930711,-1.58660909860914,-0.313291251794084,1.31871797159185,-0.975367919295183,0.845486600744128,-1.07451164680934,"0.91736111111111107","1.5972222222222224E-2","1.0006944444444443","0.92951388888888886","0.93724537037037037",-0.561271664204754,103,-0.895624661406556,92,-0.311199786867324,-0.212871922431665,-0.299302585929132,16.2197333333333,0.299302585929132,35,0.0907929194749971,-0.474123673370495,"0"
"143","143 - EQ21 D07 T12 C6 S2",2017-06-20,"EQ21","Fawn","Captive","JN",143,11,7,12,0.653190755648996,"Scent","Sociality",0.988896158930711,-1.58660909860914,-0.313291251794084,1.31871797159185,-0.975367919295183,0.845486600744128,-1.07451164680934,"0.91875000000000007","1.6666666666666666E-2","1.0020833333333334","0.93142361111111116","0.94240740740740747",-0.535290086857809,102,-0.763710190729251,86,-0.0233753021463907,-0.129788122302383,-0.0652088750490726,16.16045,0.0652088750490731,37,0.0907929194749971,-0.474123673370495,"0"
"144","144 - EQ22 D07 T12 C6 S2",2017-06-20,"EQ22","Dark","Captive","JN",144,9,7,12,0.653190755648996,"Scent","Sociality",0.988896158930711,-1.58660909860914,-0.313291251794084,1.31871797159185,-0.975367919295183,0.845486600744128,-1.07451164680934,"-","-","-","-","-",2.11483080253054,0,1.12706388897879,0,-0.589343311098387,-0.84267416802197,-0.731844648563364,12,0.731844648563365,0,-0.673779033998663,2.41412858318647,"0"
"145","145 - EQ23 D10 T12 C1 S2",2017-06-23,"EQ23","Fawn","Captive","BW",145,12,10,12,-1.52411176318099,"Audio","Boldness",0.988896158930711,0.440269179564148,-0.313291251794084,-0.221897918360089,0.900126382686947,-0.940130082407939,-1.71026760653675,"0.92013888888888884","1.0416666666666666E-2","1.0034722222222221","0.95025462962962959","0.95037037037037031",0.114249346815806,77,-0.565838484713293,77,1.44475210207586,0.879934698625212,1.34884584211543,45.5554833333333,-1.34884584211543,106,1.56896536285741,-0.474123673370495,"0"
"146","146 - EQ24 D10 T12 C7 S2",2017-07-06,"EQ24","Fawn","Wild","GH",146,12,10,12,1.08865125941499,"Control","Control",0.988896158930711,-1.68161901789852,-0.313291251794084,1.23763292475228,-1.43156923599354,-0.940130082407939,0.961706733638365,"0.90902777777777777","4.8611111111111112E-3","0.99236111111111114","0.92130787037037043","GUD",-0.561271664204754,103,1.12706388897879,0,-0.586506161603593,-0.84267416802197,-0.729844630554802,2.56708333333333,0.729844630554801,5,-0.673779033998663,-0.474123673370495,"0"
"147","147 - EQ25 D10 T12 C7 S2",2017-07-06,"EQ25","Dark","Wild","GH",147,12,10,12,1.08865125941499,"Control","Control",0.988896158930711,-1.68161901789852,-0.313291251794084,1.23763292475228,-1.43156923599354,-0.940130082407939,0.961706733638365,"0.90972222222222221","5.5555555555555558E-3","0.99305555555555558","0.9293865740740741","GUD",-0.275474313388363,92,1.12706388897879,0,-0.417230127624111,-0.282791214893332,-0.400299678533274,6.28576666666667,0.400299678533275,15,-0.520864643303931,-0.474123673370495,"0"
